--------- beginning of main
08-05 16:46:00.808 I/ReactNativeJS(11939): [HRM-MOB] POST http://14.225.217.232:3001/api/hrm/auth/mobile/login x-company-id=(empty) Authorization=missing
08-05 16:46:03.426 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/attendance/leave-requests?company_id=6efaa5d6-a4a8-4bfd-805a-3c4f003e4013&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997&status=pending x-company-id=holding Authorization=Bearer …
08-05 16:46:03.428 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/attendance/update-requests?company_id=6efaa5d6-a4a8-4bfd-805a-3c4f003e4013&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997&status=pending x-company-id=holding Authorization=Bearer …
08-05 16:46:03.430 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/employees/92ea4177-ff8a-40f4-873e-fb9214a1f997?company_id=holding x-company-id=holding Authorization=Bearer …
08-05 16:46:03.432 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/attendance/records?company_id=6efaa5d6-a4a8-4bfd-805a-3c4f003e4013&from_date=2026-08-05&to_date=2026-08-05&page=1&page_size=200&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997 x-company-id=holding Authorization=Bearer …
08-05 16:46:04.959 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/notifications/inbox?company_id=6efaa5d6-a4a8-4bfd-805a-3c4f003e4013&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997&limit=5 x-company-id=holding Authorization=Bearer …
08-05 16:46:05.526 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/payroll/payslips?company_id=holding&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997 x-company-id=holding Authorization=Bearer …
08-05 16:46:05.854 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/home/summary?company_id=holding&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997&include=celebrations%2Cwhos_out x-company-id=holding Authorization=Bearer …
08-05 16:46:06.450 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/employees?company_id=holding&page=1&page_size=100 x-company-id=holding Authorization=Bearer …
08-05 16:46:06.634 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/employees?company_id=holding&page=1&page_size=100 x-company-id=holding Authorization=Bearer …
08-05 16:46:06.778 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/attendance/leave-requests?company_id=holding&status=approved&page=1&page_size=200 x-company-id=holding Authorization=Bearer …
08-05 16:46:07.207 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/employees/92ea4177-ff8a-40f4-873e-fb9214a1f997?company_id=holding x-company-id=holding Authorization=Bearer …
08-05 16:46:07.211 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/operating-units x-company-id=holding Authorization=Bearer …
08-05 16:46:07.213 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/employees/92ea4177-ff8a-40f4-873e-fb9214a1f997?company_id=holding x-company-id=holding Authorization=Bearer …
08-05 16:46:07.214 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/operating-units x-company-id=holding Authorization=Bearer …
08-05 16:46:07.225 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/employees?company_id=holding&page=1&page_size=30&status=active&view=directory x-company-id=holding Authorization=Bearer …
08-05 16:46:07.227 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/attendance/records?company_id=6efaa5d6-a4a8-4bfd-805a-3c4f003e4013&from_date=2026-08-05&to_date=2026-08-05&page=1&page_size=500&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997 x-company-id=holding Authorization=Bearer …
08-05 16:46:07.231 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/payroll/payslips?company_id=holding&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997 x-company-id=holding Authorization=Bearer …
08-05 16:46:07.506 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/employees?company_id=holding&page=2&page_size=30&status=active&view=directory x-company-id=holding Authorization=Bearer …
08-05 16:46:07.707 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/attendance/records?company_id=6efaa5d6-a4a8-4bfd-805a-3c4f003e4013&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997&from_date=2026-08-05&to_date=2026-08-05&page=1&page_size=10 x-company-id=holding Authorization=Bearer …
08-05 16:46:07.710 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/attendance/leave-requests?company_id=6efaa5d6-a4a8-4bfd-805a-3c4f003e4013&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997 x-company-id=holding Authorization=Bearer …
08-05 16:46:07.712 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/attendance/leave-requests?company_id=6efaa5d6-a4a8-4bfd-805a-3c4f003e4013&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997&status=pending x-company-id=holding Authorization=Bearer …
08-05 16:46:07.713 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/attendance/update-requests?company_id=6efaa5d6-a4a8-4bfd-805a-3c4f003e4013&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997&status=pending x-company-id=holding Authorization=Bearer …
08-05 16:46:07.720 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/employees/92ea4177-ff8a-40f4-873e-fb9214a1f997?company_id=holding x-company-id=holding Authorization=Bearer …
08-05 16:46:07.722 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/attendance/records?company_id=6efaa5d6-a4a8-4bfd-805a-3c4f003e4013&from_date=2026-08-05&to_date=2026-08-05&page=1&page_size=200&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997 x-company-id=holding Authorization=Bearer …
08-05 16:46:07.807 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/employees/92ea4177-ff8a-40f4-873e-fb9214a1f997?company_id=holding x-company-id=holding Authorization=Bearer …
08-05 16:46:07.809 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/attendance/records?company_id=6efaa5d6-a4a8-4bfd-805a-3c4f003e4013&from_date=2026-08-05&to_date=2026-08-05&page=1&page_size=200&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997 x-company-id=holding Authorization=Bearer …
08-05 16:46:08.456 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/notifications/inbox?company_id=6efaa5d6-a4a8-4bfd-805a-3c4f003e4013&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997&limit=5 x-company-id=holding Authorization=Bearer …
08-05 16:46:08.801 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/payroll/payslips?company_id=holding&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997 x-company-id=holding Authorization=Bearer …
08-05 16:46:09.093 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/home/summary?company_id=holding&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997&include=celebrations%2Cwhos_out x-company-id=holding Authorization=Bearer …
08-05 16:46:09.582 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/employees?company_id=holding&page=1&page_size=100 x-company-id=holding Authorization=Bearer …
08-05 16:46:09.724 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/employees?company_id=holding&page=1&page_size=100 x-company-id=holding Authorization=Bearer …
08-05 16:46:09.819 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/attendance/leave-requests?company_id=holding&status=approved&page=1&page_size=200 x-company-id=holding Authorization=Bearer …
08-05 16:46:10.160 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/employees/92ea4177-ff8a-40f4-873e-fb9214a1f997?company_id=holding x-company-id=holding Authorization=Bearer …
08-05 16:46:10.162 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/operating-units x-company-id=holding Authorization=Bearer …
08-05 16:46:10.164 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/employees/92ea4177-ff8a-40f4-873e-fb9214a1f997?company_id=holding x-company-id=holding Authorization=Bearer …
08-05 16:46:10.169 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/operating-units x-company-id=holding Authorization=Bearer …
08-05 16:46:10.178 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/employees?company_id=holding&page=1&page_size=30&status=active&view=directory x-company-id=holding Authorization=Bearer …
08-05 16:46:10.183 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/attendance/records?company_id=6efaa5d6-a4a8-4bfd-805a-3c4f003e4013&from_date=2026-08-05&to_date=2026-08-05&page=1&page_size=500&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997 x-company-id=holding Authorization=Bearer …
08-05 16:46:10.186 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/payroll/payslips?company_id=holding&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997 x-company-id=holding Authorization=Bearer …
08-05 16:46:10.397 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/employees/92ea4177-ff8a-40f4-873e-fb9214a1f997?company_id=holding x-company-id=holding Authorization=Bearer …
08-05 16:46:10.398 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/attendance/records?company_id=6efaa5d6-a4a8-4bfd-805a-3c4f003e4013&from_date=2026-08-05&to_date=2026-08-05&page=1&page_size=200&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997 x-company-id=holding Authorization=Bearer …
08-05 16:46:10.486 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/employees?company_id=holding&page=2&page_size=30&status=active&view=directory x-company-id=holding Authorization=Bearer …
08-05 16:46:10.850 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/attendance/records?company_id=6efaa5d6-a4a8-4bfd-805a-3c4f003e4013&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997&from_date=2026-08-05&to_date=2026-08-05&page=1&page_size=10 x-company-id=holding Authorization=Bearer …
08-05 16:46:10.852 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/attendance/leave-requests?company_id=6efaa5d6-a4a8-4bfd-805a-3c4f003e4013&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997 x-company-id=holding Authorization=Bearer …
08-05 16:46:10.854 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/attendance/leave-requests?company_id=6efaa5d6-a4a8-4bfd-805a-3c4f003e4013&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997&status=pending x-company-id=holding Authorization=Bearer …
08-05 16:46:10.856 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/attendance/update-requests?company_id=6efaa5d6-a4a8-4bfd-805a-3c4f003e4013&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997&status=pending x-company-id=holding Authorization=Bearer …
08-05 16:46:10.857 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/employees/92ea4177-ff8a-40f4-873e-fb9214a1f997?company_id=holding x-company-id=holding Authorization=Bearer …
08-05 16:46:10.858 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/attendance/records?company_id=6efaa5d6-a4a8-4bfd-805a-3c4f003e4013&from_date=2026-08-05&to_date=2026-08-05&page=1&page_size=200&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997 x-company-id=holding Authorization=Bearer …
08-05 16:46:11.625 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/notifications/inbox?company_id=6efaa5d6-a4a8-4bfd-805a-3c4f003e4013&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997&limit=5 x-company-id=holding Authorization=Bearer …
08-05 16:46:11.816 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/payroll/payslips?company_id=holding&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997 x-company-id=holding Authorization=Bearer …
08-05 16:46:12.081 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/home/summary?company_id=holding&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997&include=celebrations%2Cwhos_out x-company-id=holding Authorization=Bearer …
08-05 16:46:12.488 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/employees?company_id=holding&page=1&page_size=100 x-company-id=holding Authorization=Bearer …
08-05 16:46:12.615 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/employees?company_id=holding&page=1&page_size=100 x-company-id=holding Authorization=Bearer …
08-05 16:46:12.691 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/attendance/leave-requests?company_id=holding&status=approved&page=1&page_size=200 x-company-id=holding Authorization=Bearer …
08-05 16:46:13.042 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/employees/92ea4177-ff8a-40f4-873e-fb9214a1f997?company_id=holding x-company-id=holding Authorization=Bearer …
08-05 16:46:13.044 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/operating-units x-company-id=holding Authorization=Bearer …
08-05 16:46:13.046 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/employees/92ea4177-ff8a-40f4-873e-fb9214a1f997?company_id=holding x-company-id=holding Authorization=Bearer …
08-05 16:46:13.047 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/operating-units x-company-id=holding Authorization=Bearer …
08-05 16:46:13.053 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/employees?company_id=holding&page=1&page_size=30&status=active&view=directory x-company-id=holding Authorization=Bearer …
08-05 16:46:13.055 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/attendance/records?company_id=6efaa5d6-a4a8-4bfd-805a-3c4f003e4013&from_date=2026-08-05&to_date=2026-08-05&page=1&page_size=500&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997 x-company-id=holding Authorization=Bearer …
08-05 16:46:13.057 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/payroll/payslips?company_id=holding&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997 x-company-id=holding Authorization=Bearer …
08-05 16:46:13.254 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/employees/92ea4177-ff8a-40f4-873e-fb9214a1f997?company_id=holding x-company-id=holding Authorization=Bearer …
08-05 16:46:13.255 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/attendance/records?company_id=6efaa5d6-a4a8-4bfd-805a-3c4f003e4013&from_date=2026-08-05&to_date=2026-08-05&page=1&page_size=200&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997 x-company-id=holding Authorization=Bearer …
08-05 16:46:13.326 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/employees?company_id=holding&page=2&page_size=30&status=active&view=directory x-company-id=holding Authorization=Bearer …
08-05 16:46:13.593 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/attendance/records?company_id=6efaa5d6-a4a8-4bfd-805a-3c4f003e4013&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997&from_date=2026-08-05&to_date=2026-08-05&page=1&page_size=10 x-company-id=holding Authorization=Bearer …
08-05 16:46:13.597 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/attendance/leave-requests?company_id=6efaa5d6-a4a8-4bfd-805a-3c4f003e4013&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997 x-company-id=holding Authorization=Bearer …
08-05 16:46:13.599 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/attendance/leave-requests?company_id=6efaa5d6-a4a8-4bfd-805a-3c4f003e4013&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997&status=pending x-company-id=holding Authorization=Bearer …
08-05 16:46:13.613 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/attendance/update-requests?company_id=6efaa5d6-a4a8-4bfd-805a-3c4f003e4013&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997&status=pending x-company-id=holding Authorization=Bearer …
08-05 16:46:13.614 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/employees/92ea4177-ff8a-40f4-873e-fb9214a1f997?company_id=holding x-company-id=holding Authorization=Bearer …
08-05 16:46:13.618 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/attendance/records?company_id=6efaa5d6-a4a8-4bfd-805a-3c4f003e4013&from_date=2026-08-05&to_date=2026-08-05&page=1&page_size=200&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997 x-company-id=holding Authorization=Bearer …
08-05 16:46:14.509 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/notifications/inbox?company_id=6efaa5d6-a4a8-4bfd-805a-3c4f003e4013&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997&limit=5 x-company-id=holding Authorization=Bearer …
08-05 16:46:14.744 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/payroll/payslips?company_id=holding&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997 x-company-id=holding Authorization=Bearer …
08-05 16:46:15.061 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/home/summary?company_id=holding&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997&include=celebrations%2Cwhos_out x-company-id=holding Authorization=Bearer …
08-05 16:46:15.575 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/employees?company_id=holding&page=1&page_size=100 x-company-id=holding Authorization=Bearer …
08-05 16:46:15.781 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/employees?company_id=holding&page=1&page_size=100 x-company-id=holding Authorization=Bearer …
08-05 16:46:15.895 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/attendance/leave-requests?company_id=holding&status=approved&page=1&page_size=200 x-company-id=holding Authorization=Bearer …
08-05 16:46:16.365 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/employees/92ea4177-ff8a-40f4-873e-fb9214a1f997?company_id=holding x-company-id=holding Authorization=Bearer …
08-05 16:46:16.366 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/operating-units x-company-id=holding Authorization=Bearer …
08-05 16:46:16.371 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/employees/92ea4177-ff8a-40f4-873e-fb9214a1f997?company_id=holding x-company-id=holding Authorization=Bearer …
08-05 16:46:16.373 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/operating-units x-company-id=holding Authorization=Bearer …
08-05 16:46:16.380 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/employees?company_id=holding&page=1&page_size=30&status=active&view=directory x-company-id=holding Authorization=Bearer …
08-05 16:46:16.383 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/attendance/records?company_id=6efaa5d6-a4a8-4bfd-805a-3c4f003e4013&from_date=2026-08-05&to_date=2026-08-05&page=1&page_size=500&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997 x-company-id=holding Authorization=Bearer …
08-05 16:46:16.386 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/payroll/payslips?company_id=holding&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997 x-company-id=holding Authorization=Bearer …
08-05 16:46:16.599 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/employees/92ea4177-ff8a-40f4-873e-fb9214a1f997?company_id=holding x-company-id=holding Authorization=Bearer …
08-05 16:46:16.603 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/attendance/records?company_id=6efaa5d6-a4a8-4bfd-805a-3c4f003e4013&from_date=2026-08-05&to_date=2026-08-05&page=1&page_size=200&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997 x-company-id=holding Authorization=Bearer …
08-05 16:46:16.613 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/employees?company_id=holding&page=2&page_size=30&status=active&view=directory x-company-id=holding Authorization=Bearer …
08-05 16:46:16.810 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/attendance/records?company_id=6efaa5d6-a4a8-4bfd-805a-3c4f003e4013&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997&from_date=2026-08-05&to_date=2026-08-05&page=1&page_size=10 x-company-id=holding Authorization=Bearer …
08-05 16:46:16.817 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/attendance/leave-requests?company_id=6efaa5d6-a4a8-4bfd-805a-3c4f003e4013&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997 x-company-id=holding Authorization=Bearer …
08-05 16:46:16.818 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/attendance/leave-requests?company_id=6efaa5d6-a4a8-4bfd-805a-3c4f003e4013&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997&status=pending x-company-id=holding Authorization=Bearer …
08-05 16:46:16.832 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/attendance/update-requests?company_id=6efaa5d6-a4a8-4bfd-805a-3c4f003e4013&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997&status=pending x-company-id=holding Authorization=Bearer …
08-05 16:46:16.837 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/employees/92ea4177-ff8a-40f4-873e-fb9214a1f997?company_id=holding x-company-id=holding Authorization=Bearer …
08-05 16:46:16.845 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/attendance/records?company_id=6efaa5d6-a4a8-4bfd-805a-3c4f003e4013&from_date=2026-08-05&to_date=2026-08-05&page=1&page_size=200&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997 x-company-id=holding Authorization=Bearer …
08-05 16:46:17.862 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/notifications/inbox?company_id=6efaa5d6-a4a8-4bfd-805a-3c4f003e4013&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997&limit=5 x-company-id=holding Authorization=Bearer …
08-05 16:46:18.026 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/payroll/payslips?company_id=holding&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997 x-company-id=holding Authorization=Bearer …
08-05 16:46:18.267 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/home/summary?company_id=holding&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997&include=celebrations%2Cwhos_out x-company-id=holding Authorization=Bearer …
08-05 16:46:18.751 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/employees?company_id=holding&page=1&page_size=100 x-company-id=holding Authorization=Bearer …
08-05 16:46:18.880 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/employees?company_id=holding&page=1&page_size=100 x-company-id=holding Authorization=Bearer …
08-05 16:46:18.987 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/attendance/leave-requests?company_id=holding&status=approved&page=1&page_size=200 x-company-id=holding Authorization=Bearer …
